0, 0
0, 395
1, 395
4, 398
4, 409
3, 410
2, 410
1, 409
0, 409
0, 428
1, 429
2, 429
3, 430
3, 431
2, 432
0, 432
0, 440
1, 440
2, 439
4, 439
5, 438
9, 438
10, 439
14, 439
15, 440
15, 442
12, 445
12, 447
14, 449
14, 450
15, 451
15, 453
16, 453
18, 455
18, 456
22, 460
22, 462
23, 462
24, 463
25, 463
26, 464
26, 465
25, 466
24, 466
23, 467
22, 467
21, 468
18, 468
17, 469
16, 469
12, 473
11, 473
10, 474
9, 474
7, 476
2, 476
1, 475
0, 475
0, 479
15, 479
15, 476
16, 475
16, 474
17, 473
22, 473
23, 472
27, 472
28, 471
29, 471
29, 470
30, 469
31, 470
32, 470
33, 471
34, 471
35, 470
37, 470
38, 469
41, 469
42, 470
44, 470
48, 474
48, 479
262, 479
262, 475
266, 471
266, 464
267, 463
267, 462
270, 459
270, 458
271, 457
271, 456
276, 451
276, 450
280, 446
281, 446
282, 445
286, 445
287, 446
291, 446
292, 447
293, 447
294, 448
294, 450
295, 451
295, 453
294, 454
294, 456
296, 458
296, 459
295, 460
295, 461
292, 464
292, 469
291, 470
291, 473
292, 473
293, 474
293, 475
292, 476
291, 476
290, 477
287, 477
286, 478
285, 478
285, 479
639, 479
639, 0
632, 0
631, 1
630, 1
629, 0
619, 0
616, 3
614, 3
611, 0
120, 0
118, 2
117, 2
116, 1
115, 1
114, 0
90, 0
89, 1
89, 2
87, 4
84, 4
81, 1
81, 0
133, 473
134, 472
137, 472
138, 473
137, 474
134, 474
79, 467
80, 466
83, 466
84, 467
84, 468
83, 469
81, 469
47, 452
48, 451
57, 451
60, 454
60, 455
56, 459
52, 459
50, 457
49, 457
48, 456
47, 456
46, 457
45, 457
45, 459
46, 460
46, 461
41, 466
38, 466
33, 461
33, 460
34, 459
34, 456
33, 456
32, 455
32, 454
33, 453
36, 453
37, 452
39, 452
40, 453
45, 453
46, 452
24, 448
25, 447
29, 447
30, 448
30, 449
27, 452
26, 452
24, 450
31, 439
32, 438
33, 438
34, 439
31, 442
30, 441
29, 441
28, 440
29, 439
3, 410
4, 409
5, 409
6, 410
7, 410
8, 411
9, 411
10, 412
12, 412
13, 413
15, 413
16, 412
17, 412
18, 413
18, 415
17, 416
17, 422
18, 422
19, 423
23, 423
24, 422
25, 422
28, 419
30, 419
31, 418
34, 418
35, 419
39, 419
40, 420
40, 421
39, 422
36, 422
35, 423
34, 423
34, 425
33, 426
31, 426
30, 427
29, 427
28, 426
13, 426
12, 425
11, 425
10, 424
7, 424
6, 423
5, 423
3, 421
37, 401
38, 400
39, 400
40, 401
39, 402
38, 402
23, 399
29, 399
34, 404
34, 405
33, 406
29, 406
28, 405
27, 405
26, 404
22, 404
21, 403
21, 401
16, 375
17, 374
18, 375
17, 376
31, 371
32, 370
34, 370
36, 372
36, 373
35, 374
34, 374
33, 375
32, 375
30, 373
31, 372
77, 14
78, 13
79, 13
80, 14
79, 15
78, 15
6, 6
7, 5
10, 5
11, 6
10, 7
7, 7
